id,quesiton,pred,ration
1,地瓜和红薯一样吗,红薯,"1,8,3,0,7,83,6,137,133,134,111,17,79,2"
5,已满几周岁的人贩卖毒品罪应当负刑事责任,十六周岁,"12,13,34,33,25,17,11,24,30,100,26,29"
7,vc和烟酰胺可以一起用吗,[CLS]vc和烟酰胺可以一起用吗[SEP]烟酰胺尽量不要和酸性物质混用，混用的话可能会导致肌肤ph值改变。烟酰胺释放了大量的烟酸，对皮肤会有刺激，所以最好不要和vc使用。烟酰胺最显著的作用是美白，还可以抗炎症，调节表皮细胞的生长分化，促进胶原蛋白产生，抑制黑色素产生，促进真皮层增厚等，对痤疮、美白、抗老、细致毛孔也有作用，将烟酰胺和护肤品放烟酰胺可以和vc一起用吗[SEP],"59,20,69,40,21,70,73,13,18,72,60,75,48,19,111,79"
8,香蕉能和柚子一起吃吗,香蕉,"81,82,90,83,79,16,88,102,101,17"
9,桃子能和橙子一起吃吗,桃子,"130,7,8,17,121,132,13,129,134,40,15,142,140,60"
10,考研跟读研有什么区别,,"147,7,6,139,148,146,13,143,116,141,10,11,14,54,115"
12,磷酸二氢钾能和多效唑一起用吗,磷酸二氢钾,"11,10,12,0,132,134,133,2,1,135,130,131,15,128"
14,猫咪可以吃生蛋黄吗,蛋黄,"5,3,4,134,9,138,135,0,1,13,25,136,22,17"
16,广州银行京东信用卡能提现吗,京东小白卡是可以提现,"8,1,11,30,0,6,10,69,178,7,70,9,64,61,90,33,168,71"
18,最近深圳没有限行吗,深圳市不限行的了，但是没有必要尽量还是少出门，出门也要做好一系列的防护措施才可以。因为虽然目前国内疫情形势有所缓和，但是这并不意味着疫情的结束，国外疫情形势还是很严峻的，境外输入案例较多。最近深圳限行吗[SEP],"105,106,104,17,14,16,101,9,102,65,99"
